epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,2894.14,0.54559,0.09474,0.0238,0.28378,0.93492,0.9964,0.99817,0.99452,0.93126,0.99709,0.99886,0.99459,0.99422,0.41396,0.03076,0.00141,0.91107,0.82676,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
22,2994.42,0.54167,0.08678,0.02387,0.27827,0.92946,0.99725,0.99764,0.99443,0.93231,0.99794,0.99834,0.99457,0.99426,0.40718,0.02989,0.00104,0.69741,0.82529,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025
23,3094.96,0.54334,0.09266,0.02367,0.28416,0.9332,0.99462,0.99843,0.99448,0.93308,0.99503,0.99894,0.99455,0.99427,0.40522,0.02947,0.00103,1.28293,0.8229,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
24,3195.67,0.54494,0.08975,0.02349,0.28065,0.93378,0.99697,0.99834,0.99457,0.93227,0.99752,0.99889,0.99466,0.99439,0.40517,0.02936,0.00164,0.78729,0.82102,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075
25,3295.92,0.5409,0.08815,0.02344,0.2807,0.93431,0.99668,0.99761,0.9945,0.93518,0.99693,0.99834,0.99461,0.99432,0.40485,0.02984,0.00135,0.91945,0.82395,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
26,3396.1,0.53718,0.08027,0.02137,0.27713,0.92463,0.99667,0.9982,0.99462,0.93465,0.99736,0.99889,0.99468,0.99441,0.40451,0.02948,0.00097,0.5891,0.82487,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
27,3496.77,0.54193,0.08538,0.02306,0.27995,0.93176,0.99646,0.99834,0.99457,0.93273,0.99687,0.99889,0.99469,0.99429,0.39964,0.02884,0.00089,0.87919,0.82274,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
28,3596.64,0.54037,0.08743,0.02281,0.2776,0.93074,0.99616,0.99861,0.99446,0.93322,0.99672,0.99917,0.99452,0.99426,0.39983,0.02808,0.00093,0.91872,0.82273,0.0279952,0.00933175,0.0279952,0.00933175,0.0279952,0.00933175,0.0279952,0.00933175
29,3696.97,0.53334,0.08923,0.02408,0.27298,0.92681,0.99559,0.99834,0.99448,0.93527,0.99614,0.99889,0.99451,0.9943,0.3992,0.02731,0.001,1.03933,0.81988,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
30,3797.3,0.53576,0.08868,0.0217,0.2744,0.92864,0.99708,0.99848,0.99465,0.93764,0.99757,0.99903,0.99474,0.99446,0.39467,0.02699,0.00088,0.73933,0.81984,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225
31,3897.8,0.53376,0.07748,0.02161,0.27128,0.93229,0.99726,0.99834,0.99459,0.93815,0.99768,0.99875,0.99463,0.99443,0.39628,0.02774,0.00083,0.77405,0.81977,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
32,3998.6,0.52466,0.07805,0.02213,0.26994,0.92848,0.99694,0.99861,0.99465,0.9384,0.99735,0.99903,0.99469,0.99446,0.39456,0.0271,0.00084,0.88056,0.81943,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275
33,4099.16,0.53526,0.08707,0.02229,0.27389,0.92556,0.9968,0.99834,0.99462,0.93729,0.99696,0.99883,0.99471,0.99444,0.38992,0.02694,0.00102,0.93418,0.81635,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
34,4199.46,0.52629,0.08869,0.02276,0.27196,0.92947,0.99668,0.99832,0.99469,0.93998,0.99723,0.99888,0.99467,0.99448,0.38926,0.02655,0.00081,0.95876,0.81784,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325
35,4299.78,0.52659,0.08249,0.02196,0.27164,0.92319,0.99657,0.99889,0.99461,0.93908,0.99712,0.99945,0.99462,0.99441,0.38759,0.02582,0.00088,0.77587,0.81463,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
36,4400.33,0.5261,0.07864,0.02084,0.27004,0.92157,0.997,0.99861,0.99465,0.93883,0.99731,0.99945,0.99464,0.99441,0.38898,0.02609,0.00075,0.82809,0.81675,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
37,4500.89,0.53,0.08502,0.02236,0.27025,0.92593,0.99676,0.99875,0.99452,0.93965,0.99718,0.99917,0.99463,0.99439,0.38727,0.02569,0.00072,0.98441,0.81641,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
38,4601.17,0.52219,0.084,0.02092,0.26783,0.92105,0.99627,0.99866,0.99457,0.9405,0.99655,0.99936,0.99463,0.99441,0.38647,0.02529,0.00071,0.95761,0.81559,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425
39,4701.16,0.52148,0.08192,0.02262,0.26594,0.92319,0.99633,0.99903,0.99463,0.94067,0.99688,0.99958,0.99462,0.9944,0.38358,0.02527,0.0009,1.00564,0.81365,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
40,4801.67,0.52054,0.07978,0.02134,0.26603,0.91601,0.99654,0.99853,0.99463,0.93986,0.9971,0.99908,0.99467,0.99436,0.38297,0.02527,0.00082,0.93377,0.8132,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475
41,4901.9,0.52693,0.08323,0.02186,0.26799,0.92188,0.99667,0.99903,0.99474,0.93995,0.99722,0.99958,0.99472,0.99452,0.38563,0.02512,0.00081,0.88174,0.8138,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
42,5002.62,0.51666,0.07959,0.02163,0.26906,0.91752,0.99676,0.99861,0.99455,0.94118,0.99725,0.99917,0.99453,0.99429,0.38131,0.02471,0.00073,0.98905,0.81351,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525
43,5102.91,0.52172,0.07827,0.02292,0.26631,0.92372,0.99678,0.99875,0.99456,0.94129,0.99716,0.99945,0.99461,0.99435,0.381,0.02481,0.00067,0.98106,0.81527,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
44,5203.36,0.52113,0.0869,0.0219,0.27099,0.92298,0.99634,0.99875,0.99455,0.94196,0.99668,0.99958,0.99462,0.99429,0.38024,0.02471,0.00064,1.00856,0.81299,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575
45,5303.14,0.51887,0.08122,0.02187,0.26634,0.91095,0.9965,0.99889,0.99463,0.94235,0.99691,0.99931,0.99469,0.99439,0.37935,0.02451,0.00068,1.04355,0.8101,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
46,5404.08,0.51905,0.08006,0.02094,0.26234,0.91773,0.99682,0.99875,0.99465,0.94213,0.99723,0.99934,0.99469,0.99439,0.37899,0.02464,0.00061,0.98453,0.81056,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
47,5504.87,0.51422,0.07433,0.02142,0.26617,0.91289,0.99677,0.99875,0.99466,0.94164,0.99728,0.99931,0.99466,0.9944,0.37946,0.02484,0.00064,0.95942,0.8123,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
48,5605.26,0.51737,0.07796,0.02033,0.2641,0.91934,0.99684,0.99875,0.99466,0.94225,0.99723,0.99944,0.99465,0.99439,0.378,0.02412,0.00065,1.00836,0.81138,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675
49,5705.36,0.52209,0.0854,0.022,0.26715,0.92249,0.99675,0.99889,0.9946,0.94198,0.9971,0.99932,0.99458,0.99435,0.37656,0.02406,0.0006,1.01294,0.81037,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
50,5806.26,0.5151,0.08084,0.0213,0.26608,0.91162,0.99668,0.99888,0.99458,0.94235,0.9971,0.9993,0.99457,0.99433,0.37615,0.0241,0.00064,1.01959,0.80983,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725
51,5906.76,0.51201,0.07886,0.02246,0.26081,0.91586,0.99687,0.99861,0.99461,0.94186,0.99705,0.99889,0.9946,0.99436,0.378,0.02427,0.0006,1.09256,0.8116,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
52,6007.03,0.52244,0.08707,0.02114,0.26666,0.91959,0.99671,0.99875,0.99469,0.94259,0.99682,0.99942,0.99467,0.99441,0.37695,0.02403,0.00056,1.04891,0.8112,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775
53,6107.19,0.52605,0.09183,0.02086,0.2667,0.92344,0.99686,0.99889,0.99472,0.94188,0.99695,0.99958,0.9947,0.99444,0.37681,0.02399,0.00056,0.99738,0.81186,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
54,6208.05,0.52143,0.08159,0.02217,0.26677,0.91888,0.99683,0.99875,0.99471,0.9427,0.99678,0.99958,0.9947,0.99444,0.37604,0.02385,0.00055,1.00424,0.81091,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825
55,6308.67,0.51159,0.07907,0.02279,0.26242,0.91587,0.99682,0.99885,0.99472,0.94243,0.99694,0.99958,0.99472,0.99445,0.3763,0.02387,0.00056,1.01289,0.8108,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
56,6409.05,0.52368,0.08494,0.02163,0.26499,0.9202,0.99696,0.99873,0.99468,0.94266,0.99723,0.99949,0.99467,0.9944,0.37627,0.02383,0.00055,1.03541,0.81042,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
57,6509.42,0.51579,0.07592,0.02059,0.26212,0.91597,0.99678,0.99889,0.99464,0.94283,0.99721,0.99958,0.99464,0.99436,0.37534,0.02374,0.00054,1.04581,0.8096,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
58,6609.36,0.51085,0.07915,0.02067,0.26178,0.91736,0.99696,0.99875,0.99466,0.94295,0.99722,0.99958,0.99466,0.99438,0.37567,0.02375,0.00054,1.01638,0.80968,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925
59,6709.23,0.51839,0.08119,0.02155,0.26423,0.91468,0.99692,0.99903,0.99469,0.94214,0.99723,0.99958,0.99468,0.99441,0.37606,0.02379,0.00054,1.00734,0.80956,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
60,6809.18,0.51181,0.07837,0.02054,0.25911,0.91586,0.99696,0.99896,0.9947,0.94243,0.99723,0.99958,0.99469,0.99442,0.37623,0.02383,0.00053,0.98822,0.8099,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975
61,6909.01,0.51484,0.07836,0.02019,0.26032,0.91086,0.99683,0.99889,0.99469,0.94261,0.99731,0.99958,0.99468,0.99441,0.37534,0.02371,0.00053,0.99571,0.80943,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
62,7008.84,0.50688,0.07728,0.02103,0.25993,0.9163,0.99682,0.99887,0.99463,0.94354,0.9972,0.99958,0.99462,0.99436,0.37518,0.02364,0.00051,1.0127,0.80941,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025
63,7109.51,0.51553,0.08066,0.02042,0.26291,0.91358,0.99694,0.99903,0.9947,0.94282,0.99728,0.99945,0.99469,0.99443,0.37502,0.02361,0.00051,1.00466,0.80913,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
64,7209.57,0.50945,0.07851,0.02152,0.26119,0.9112,0.99706,0.99903,0.99466,0.94297,0.99723,0.99931,0.99464,0.99437,0.37461,0.02358,0.0005,1.01771,0.80925,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075
65,7309.58,0.51826,0.07696,0.02045,0.26337,0.91564,0.99703,0.99903,0.99457,0.94289,0.99722,0.99931,0.99455,0.99429,0.37415,0.02356,0.0005,0.99998,0.80893,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
66,7409.33,0.50797,0.07884,0.02162,0.26013,0.91533,0.9968,0.99889,0.99463,0.94299,0.99715,0.99931,0.99462,0.99435,0.37393,0.02349,0.00049,1.01255,0.80891,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
67,7509.22,0.50381,0.07446,0.01939,0.26135,0.90839,0.99681,0.99889,0.99463,0.94309,0.99723,0.99939,0.99461,0.99435,0.37397,0.02342,0.00049,0.99549,0.80894,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
68,7609.51,0.50841,0.07642,0.02186,0.26023,0.91159,0.99681,0.99889,0.9946,0.94354,0.99723,0.99938,0.99458,0.99432,0.37357,0.02341,0.00049,0.99303,0.80894,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175
69,7709.53,0.5075,0.07454,0.02073,0.25753,0.91136,0.99671,0.99889,0.99461,0.94325,0.99723,0.99954,0.99459,0.99433,0.37329,0.02337,0.00049,0.9969,0.80878,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
70,7810.34,0.50509,0.07764,0.02119,0.25681,0.91176,0.99668,0.99895,0.99463,0.94298,0.99721,0.99958,0.9946,0.99434,0.37319,0.02336,0.00049,0.98469,0.80879,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225
71,7910.48,0.50513,0.07998,0.02096,0.25579,0.91391,0.99662,0.99903,0.99462,0.94308,0.99717,0.99958,0.9946,0.99434,0.37333,0.02336,0.00049,0.98696,0.80883,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
72,8011.48,0.50925,0.07892,0.02053,0.25897,0.9141,0.99663,0.99903,0.99452,0.94303,0.99718,0.99958,0.9945,0.99422,0.37326,0.02334,0.00049,0.97989,0.80875,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275
73,8112.32,0.50936,0.07799,0.02155,0.26032,0.91276,0.99664,0.99903,0.99455,0.94303,0.99718,0.99958,0.99453,0.99425,0.37321,0.02335,0.00049,0.97374,0.80878,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
